id;name;category;description;specs_json;consortium_json;images_json
1;"BIZ 125 EX";Street;"A Biz 125 é parceira para o que der e vier. Além do porta-objetos, agora o modelo vem com tomada 12V para carregar o celular.";"{""Motor"":""OHC, Monocilíndrico 4 tempos, arrefecido a ar"",""Cilindrada"":""123,9 cc."",""Potência Máxima"":""7,01 kW (9,53 CV) a 7500 rpm"",""Torque Máximo"":""10,1 N.m (1,03 kgf.m) a 6000 rpm"",""Transmissão"":""4 velocidades"",""Sistema de Partida"":""Elétrico"",""Combustível"":""Gasolina / Etanol"",""Capacidade do Tanque"":""5,0 L""}";"[{""plan"":""80x"",""value"":""R$ 291,66""},{""plan"":""60x"",""value"":""R$ 377,76""},{""plan"":""48x"",""value"":""R$ 465,30""},{""plan"":""36x"",""value"":""R$ 613,00""},{""plan"":""24x"",""value"":""R$ 901,63""}]";"[""https://d1qa0ax3fv1ims.cloudfront.net/catalogo_imagens/duas_rodas/biz-125-ex-azul-b-555-x372_0.png"",""https://d1qa0ax3fv1ims.cloudfront.net/catalogo_imagens/duas_rodas/biz-125-ex-azul-frente-555-x372_2.png"",""https://d1qa0ax3fv1ims.cloudfront.net/catalogo_imagens/duas_rodas/biz-125-ex-branco-lado-a-555-x372_1.png""]"
2;"BIZ125 ES";Street;"A Biz 125 é parceira para o que der e vier. Além do porta-objetos, agora o modelo vem com tomada 12V para carregar o celular.";"{""Motor"":""OHC, Monocilíndrico 4 tempos, arrefecido a ar"",""Cilindrada"":""123,9 cc."",""Potência Máxima"":""7,01 kW (9,53 CV) a 7500 rpm - Gasolina "",""Torque Máximo"":""10,1 N.m (1,03 kgf.m) a 6000 rpm - Gasolina "",""Transmissão"":""4 velocidades"",""Sistema de Partida"":""Elétrico"",""Combustível"":""Gasolina"",""Capacidade do Tanque"":""5,0 L""}";"[{""plan"":""80x"",""value"":""R$ 235,63""},{""plan"":""60x"",""value"":""R$ 305,19""},{""plan"":""48x"",""value"":""R$ 375,91""},{""plan"":""36x"",""value"":""R$ 495,24""},{""plan"":""24x"",""value"":""R$ 728,43""}]";"[""https://d1qa0ax3fv1ims.cloudfront.net/catalogo_imagens/duas_rodas/biz-125-es-vermelho-maceio-red-lado-a-555-x-372.png"",""https://d1qa0ax3fv1ims.cloudfront.net/catalogo_imagens/duas_rodas/biz-125-es-branco-lado-a-350-x280.png"",""https://d1qa0ax3fv1ims.cloudfront.net/catalogo_imagens/duas_rodas/biz-125-es-preto-lado-b-350-x280_0.png""]"
3;"POP 110I ES";Street;"Com a nova Pop 110i ES, levar a vida numa Honda é muito mais fácil. A partida elétrica do modelo garante que você tenha agilidade e comodidade no dia a dia.";"{""Motor"":""OHC, Monocilíndrico, 4 tempos, arrefecido a ar"",""Cilindrada"":""109,5 cc"",""Potência Máxima"":""8,43 cv a 7.250 rpm"",""Torque Máximo"":""0,945 kgf.m a 5.000 rpm"",""Transmissão"":""4 velocidades"",""Sistema de Partida"":""Elétrica"",""Combustível"":""Gasolina"",""Capacidade do Tanque"":""4,2 L""}";"[{""plan"":""80x"",""value"":""R$ 188,70""},{""plan"":""60x"",""value"":""R$ 244,40""},{""plan"":""48x"",""value"":""R$ 301,04""},{""plan"":""36x"",""value"":""R$ 396,60""},{""plan"":""24x"",""value"":""R$ 583,34""}]";"[""https://d1qa0ax3fv1ims.cloudfront.net/catalogo_imagens/duas_rodas/pop-branca-lateral.png"",""https://d1qa0ax3fv1ims.cloudfront.net/catalogo_imagens/duas_rodas/pop-preta-3_4fd.png"",""https://d1qa0ax3fv1ims.cloudfront.net/catalogo_imagens/duas_rodas/pop-vermelha-lateral.png""]"
1752426397374;"ELITE 125";Street;"A nova geração da Elite 125 apresenta um design sofisticado e moderno, com linhas que transmitem uma sensação de robustez.";"{""Motor"":""OHC, Monocilíndrico, 4 tempos, arrefecido a ar"",""Cilindrada"":""123,9 cc"",""Potência Máxima"":""8.2 cv a 6.250 rpm"",""Torque Máximo"":""1.06 kgf.m a 5.000 rpm"",""Transmissão"":""Tipo V - MATIC"",""Sistema de Partida"":""Elétrica"",""Combustível"":""Gasolina"",""Capacidade do Tanque"":""5,3 L""}";"[{""plan"":""80x"",""value"":""R$ 256,31""},{""plan"":""60x"",""value"":""R$ 331,98""},{""plan"":""48x"",""value"":""R$ 408,91""},{""plan"":""36x"",""value"":""R$ 538,71""},{""plan"":""24x"",""value"":""R$ 792,36""}]";"[""https://www.honda.com.br/motos/sites/hda/files/2024-05/honda-elite-125-modulo-360-azul.webp"",""https://www.honda.com.br/motos/sites/hda/files/2024-05/honda-elite-125-modulo-360-vermelho.webp"",""https://www.honda.com.br/motos/sites/hda/files/2024-05/honda-elite-125-modulo-360-prata.webp"",""https://www.honda.com.br/motos/sites/hda/files/2024-05/honda-elite-125-modulo-360-branco.webp""]"
1752426878888;"CG 160 START";Street;"A CG 160 Start se destaca pelo seu design arrojado e imponente. Cada detalhe foi cuidadosamente pensado para entregar estilo, garantindo uma presença marcante por onde passa.";"{""Motor"":""OHC, Monocilíndrico, 4 tempos, arrefecido a ar"",""Cilindrada"":""162,7 cc"",""Potência Máxima"":""10,6 KW (14,4 CV) a 8.000 rpm"",""Torque Máximo"":""13,8 N.m (1,41 kgf.m) a 6.750 rpm"",""Transmissão"":""5 velocidades"",""Sistema de Partida"":""Elétrico"",""Combustível"":""Gasolina"",""Capacidade do Tanque"":""14,0 L""}";"[{""plan"":""80x"",""value"":""R$ 304,58""},{""plan"":""60x"",""value"":""R$ 394,49""},{""plan"":""48x"",""value"":""R$ 485,91""},{""plan"":""36x"",""value"":""R$ 640,15""},{""plan"":""24x"",""value"":""R$ 941,56""}]";"[""https://www.honda.com.br/motos/sites/hda/files/2024-10/imagem-home-honda-cg-160-start-prata.webp"",""https://www.honda.com.br/motos/sites/hda/files/2024-10/imagem-home-honda-cg-160-start-vermelho_0.webp"",""https://www.honda.com.br/motos/sites/hda/files/2024-10/imagem-home-honda-cg-160-start-preto.webp""]"
1752427355876;"CG 160 FAN";Street;"Com um toque de esportividade, a CG 160 Fan vem com freios CBS, LED no farol e na lanterna e novo painel digital. Ideal para quem quer conforto e tecnologia no dia a dia.";"{""Motor"":""OHC, Monocilíndrico 4 tempos, arrefecido a ar"",""Cilindrada"":""162,7 cc"",""Potência Máxima"":""10,6 kW (14,4 CV) a 8000 rpm (Gasolina) / 10,8 kW (14,7 CV) a 8000 rpm Álcool (etanol)"",""Torque Máximo"":""13,8 N.m (1,41 kgf.m) a 6750 rpm (Gasolina) / 14,0 N.m (1,43 kgf.m) a 6750 rpm Álcool (etanol)"",""Transmissão"":""5 velocidades"",""Sistema de Partida"":""Elétrico"",""Combustível"":""Gasolina e/ou Etanol"",""Capacidade do Tanque"":""14,0 L""}";"[{""plan"":""80x"",""value"":""R$ 332,41""},{""plan"":""60x"",""value"":""R$ 430,54""},{""plan"":""48x"",""value"":""R$ 530,31""},{""plan"":""36x"",""value"":""R$ 698,65""},{""plan"":""24x"",""value"":""R$ 1.027,60""}]";"[""https://www.honda.com.br/motos/sites/hda/files/2024-10/imagem-home-honda-cg-160-fan-azul.webp"",""https://www.honda.com.br/motos/sites/hda/files/2024-10/imagem-home-honda-cg-160-fan-azul.webp"",""https://www.honda.com.br/motos/sites/hda/files/2024-10/imagem-home-honda-cg-160-fan-preto.webp""]"
1752427517010;"CG 160 TITAN";Street;"A CG 160 Titan é para quem não abre mão de personalidade e eficiência. Com freio ABS, LED no farol e lanterna e um design marcante, ela eleva o padrão em cada detalhe.";"{""Motor"":""OHC, Monocilíndrico 4 tempos, arrefecido a ar."",""Cilindrada"":""162,7 cc"",""Potência Máxima"":""10,6 KW (14,4 CV) a 8.000 rpm (Gasolina) / 10,8 KW (14,7 CV) a 8.000 rpm (Etanol)"",""Torque Máximo"":""13,8 N.m (1,41 kgf.m) a 6750 rpm (Gasolina) / 14,0 N.m (1,43 kgf.m) a 6750 rpm Álcool (etanol)"",""Transmissão"":""5 velocidades"",""Sistema de Partida"":""Elétrico"",""Combustível"":""Gasolina e/ou Etanol"",""Capacidade do Tanque"":""14,0 L""}";"[{""plan"":""80x"",""value"":""R$ 356,63""},{""plan"":""60x"",""value"":""R$ 461,91""},{""plan"":""48x"",""value"":""R$ 568,95""},{""plan"":""36x"",""value"":""R$ 749,56""},{""plan"":""24x"",""value"":""R$ 1.102,48""}]";"[""https://www.honda.com.br/motos/sites/hda/files/2024-10/imagem-home-honda-cg-160-titan-laranja.webp"",""https://www.honda.com.br/motos/sites/hda/files/2024-10/imagem-home-honda-cg-160-titan-vermelho.webp"",""https://www.honda.com.br/motos/sites/hda/files/2024-10/imagem-home-honda-cg-160-titan-preto.webp""]"
1752427886340;"PCX CBS";Street;"A PCX 2025 é conectada ao seu estilo de vida. Por isso, no porta-luvas da scooter há uma nova entrada USB-C para o carregador do seu celular.";"{""Motor"":""OHC, Monocilíndrico, 4 tempos, arrefecido a líquido"",""Cilindrada"":""156,9 cc"",""Potência Máxima"":""16CV a 8.500 rpm"",""Torque Máximo"":""1,5 kgf.m a 6.500 rpm"",""Transmissão"":""Automática, do tipo V - MATIC"",""Sistema de Partida"":""Elétrico"",""Combustível"":""Gasolina"",""Capacidade do Tanque"":""8,0 L""}";"[{""plan"":""80x"",""value"":""R$ 329,15""},{""plan"":""60x"",""value"":""R$ 426,32""},{""plan"":""48x"",""value"":""R$ 525,11""},{""plan"":""36x"",""value"":""R$ 691,80""},{""plan"":""24x"",""value"":""R$ 1.017,52""}]";"[""https://www.honda.com.br/motos/sites/hda/files/2024-11/imagem-home-honda-pcx-branco.webp""]"
1752428243442;"PCX ABS";Street;"Garantindo mais segurança e controle durante a pilotagem, a PCX ABS possui sistema de freios ABS, que evita o travamento da roda dianteira no caso de frenagens bruscas. ";"{""Motor"":""OHC, Monocilíndrico, 4 tempos, arrefecido a líquido"",""Cilindrada"":""156,9 cc"",""Potência Máxima"":""16CV a 8.500 rpm"",""Torque Máximo"":""1,5 kgf.m a 6.500 rpm"",""Transmissão"":""Automática, do tipo V - MATIC"",""Sistema de Partida"":""Elétrico"",""Combustível"":""Gasolina"",""Capacidade do Tanque"":""8,0 L""}";"[{""plan"":""80x"",""value"":""R$ 361,12""},{""plan"":""60x"",""value"":""R$ 467,73""},{""plan"":""48x"",""value"":""R$ 576,11""},{""plan"":""36x"",""value"":""R$ 758,99""},{""plan"":""24x"",""value"":""R$ 1.116,36""}]";"[""https://www.honda.com.br/motos/sites/hda/files/2024-11/imagem-home-honda-pcx-vermelho.webp""]"
1752429647972;"NXR 160 BROS ABS";Adventure;"A Nova Bros 160 traz um sistema de antitravamento das rodas, garantindo uma experiência de pilotagem mais aprimorada.";"{""Motor"":""OHC, Monocilíndrico 4 tempos, arrefecido a ar."",""Cilindrada"":""162,7 cc"",""Potência Máxima"":""10,4 kW (14,2 CV) a 8000 rpm (Gasolina)/ 10,5 KW (14,3 CV) a 8000 rpm (Etanol)"",""Torque Máximo"":""14,1 N.m (1,44 kgf.m) a 5500 rpm (Gasolina)/ 14,2 N.m (1,45 kgf.m) a 5500 rpm Àlcool (etanol)"",""Transmissão"":""5 velocidades"",""Sistema de Partida"":""Elétrica"",""Combustível"":""Gasolina e/ou Etanol"",""Capacidade do Tanque"":""12,0 L""}";"[{""plan"":""80x"",""value"":""R$ 397,55""},{""plan"":""60x"",""value"":""R$ 514,91""},{""plan"":""48x"",""value"":""R$ 634,22""},{""plan"":""36x"",""value"":""R$ 835,55""},{""plan"":""24x"",""value"":""R$ 1.228,96""}]";"[""https://www.honda.com.br/motos/sites/hda/files/2024-08/imagem-home-honda-nxr-bros-160-abs-lateral-cinza.webp"",""https://www.honda.com.br/motos/sites/hda/files/2024-08/imagem-home-honda-nxr-bros-160-abs-lateral-vermelho.webp""]"
